name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,board,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom,Voucher,Artist
"Keldon Overseer",3,"Creature - Human Warrior",R,"dom","134",common,null,Owned,Non-foil,mainboard,false,,,"gives-haste, intervening-if-clause, more-expensive-than-mv, threaten-with-set-s-mechanic, untapper-creature, virtual-french-vanilla","",67733,false,false,"Jason A. Engle"
"Act of Treason",3,"Sorcery",R,"m10","124",uncommon,null,Owned,Non-foil,mainboard,false,,,"gives-haste, single-target-instant-sorcery, threaten, untapper-creature","",32851,false,false,"Eric Deschamps"
"Fiend of the Shadows",5,"Creature - Vampire Wizard",B,"dka","62",rare,null,Owned,Non-foil,mainboard,false,,,"activated-ability, discard-to-exile, evasion, free-sacrifice-outlet, nightveil-theft, noncreature-typal, regenerates-self, repeatable-card-advantage, sacrifice-outlet-creature, specter-ability, theft-cast, triggered-ability, typal-human","",43397,false,false,"Igor Kieryluk"
"Olivia's Dragoon",2,"Creature - Vampire Berserker",B,"emn","100",common,null,Owned,Non-foil,mainboard,false,,,"activated-ability, free-discard-outlet, gains-flying, hellbending, jump, namesake-spell","",61394,false,false,"Chris Rallis"
"Shadow Alley Denizen",1,"Creature - Vampire Rogue",B,"gtc","76",common,null,Owned,Non-foil,mainboard,false,,,"creaturefall, cycle-gtc-denizen, evasion, gives-intimidate, repeatable-crime, synergy-black, triggered-ability","",47647,false,false,"Cynthia Sheppard"
"Bloodthrone Vampire",2,"Creature - Vampire",B,"roe","98",common,null,Owned,Non-foil,mainboard,false,,,"activated-ability, free-sacrifice-outlet, sacrifice-outlet-creature, shade-pump","",36774,false,false,"Steve Argyle"
"Sanguine Syphoner",2,"Creature - Vampire Warlock",B,"fdn","68",common,null,Owned,Non-foil,mainboard,false,,,"alliteration, attack-trigger, attacking-matters-self, drain-life, group-slug, opponent-loses-life, repeatable-lifegain","",133704,false,false,"Irina Nordsol"
"Vengeful Vampire",6,"Creature - Vampire",B,"dka","78",uncommon,null,Owned,Non-foil,mainboard,false,,,"alliteration, cheat-death-self, death-trigger-self, evasion, french-vanilla, gains-pp-counters, intervening-if-clause","",43351,false,false,"Lucas Graciano"
"Restless Bloodseeker",2,"Creature - Vampire",B,"vow","128",uncommon,null,Owned,Non-foil,mainboard,false,,,"activated-ability, bottomless-mana-sink, drain-life, group-slug, infusion, intervening-if-clause, opponent-loses-life, repeatable-blood, repeatable-lifegain, synergy-blood, transform-improvement","",94586,false,false,"Justyna Dura"
"Vampire Nighthawk",3,"Creature - Vampire Shaman",B,"zen","116",uncommon,null,Owned,Non-foil,mainboard,false,,,"evasion, french-vanilla, repeatable-lifegain","",34530,false,false,"Jason Chan"
"Ravenous Bloodseeker",2,"Creature - Vampire Berserker",R,"soi","175",uncommon,null,Owned,Non-foil,mainboard,false,,,"activated-ability, flowstone, free-discard-outlet, hellbending","",60222,false,false,"James Ryman"
"Falkenrath Exterminator",2,"Creature - Vampire Archer",R,"avr","134",uncommon,null,Owned,Non-foil,mainboard,false,,,"activated-ability, burn-creature, gains-pp-counters, mana-sink, pp-counters-matter, repeatable-crime, repeatable-removal, slith-ability, spot-removal, triggered-ability","",44239,false,false,"Winona Nelson"
"Insolent Neonate",1,"Creature - Vampire",R,"soi","168",common,null,Owned,Non-foil,mainboard,false,,,"activated-ability, evasion, hand-negative, martyr, rummage","",60306,false,false,"Deruchenko Alexander"
"Voldaren Stinger",1,"Creature - Vampire Warrior",R,"mid","167",common,null,Owned,Non-foil,mainboard,false,,,"activated-ability, attacking-matters-self, bottomless-mana-sink, firebreathing, gains-first-strike","",93316,false,false,"Martina Fačková"
"Blood Petal Celebrant",2,"Creature - Vampire",R,"vow","146",common,null,Owned,Non-foil,mainboard,false,,,"attacking-matters-self, death-trigger-self, gains-first-strike, rummage","",94630,false,false,"Fajareka Setiawan"
"Falkenrath Perforator",2,"Creature - Vampire",R,"mid","136",common,null,Owned,Non-foil,mainboard,false,,,"attack-trigger, attacking-matters-self, burn-player, pinger","",93238,false,false,"Marcela Medeiros"
"Famished Foragers",4,"Creature - Vampire",R,"mid","138",common,null,Owned,Non-foil,mainboard,false,,,"activated-ability, alliteration, hand-negative, intervening-if-clause, life-loss-matters, non-mana-ability-mana, refund, repeatable-card-advantage, rummage","",93242,false,false,"Lorenzo Mastroianni"
"Bloodmad Vampire",3,"Creature - Vampire Berserker",R,"soi","146",common,null,Owned,Non-foil,mainboard,false,,,"cheaper-than-mv, gains-pp-counters, hate-discard, madness, slith-ability","",60228,false,false,"Johannes Voss"
"Voldaren Duelist",4,"Creature - Vampire Warrior",R,"soi","191",common,null,Owned,Non-foil,mainboard,false,,,"prevent-blocker, triggered-ability, virtual-french-vanilla","",60148,false,false,"Jason Rainville"
"Furyblade Vampire",2,"Creature - Vampire Berserker",R,"emn","128",uncommon,null,Owned,Non-foil,mainboard,false,,,"discard-outlet, triggered-ability","",61410,false,false,"Lius Lasahido"
"Olivia's Attendants",6,"Creature - Vampire",R,"vow","172",rare,null,Owned,Non-foil,mainboard,false,,,"activated-ability, bottomless-mana-sink, burn-any, combat-neutral-damage-trigger, evasion, hand-negative, namesake-spell, pinger, repeatable-blood, repeatable-crime, repeatable-removal, spot-removal, tokenlink","",94688,false,false,"Dmitry Burmak"
"Mogg Flunkies",2,"Creature - Goblin",R,"sth","92",common,null,Owned,Non-foil,mainboard,false,,,"restricted-attacker, restricted-blocker","",10169,false,false,"Brom"
